RIC,MAX(ACCOUNT_DATE)
0347.HK         ,20230331
3339.HK         ,20221231
0719.HK         ,20230331
8006.HK         ,20230331
0168.HK         ,20230331
1272.HK         ,20221231
0682.HK         ,20221231
0046.HK         ,20221231
2329.HK         ,20221231
1122.HK         ,20221231
0358.HK         ,20221231
1053.HK         ,20230331
0995.HK         ,20221231
0316.HK         ,20221231
0754.HK         ,20221231
0317.HK         ,20230331
0751.HK         ,20221231
8026.HK         ,20221231
0450.HK         ,20221231
0626.HK         ,20221231
0984.HK         ,20221231
0551.HK         ,20230331
0683.HK         ,20221231
0717.HK         ,20230331
0062.HK         ,20221231
1225.HK         ,20221231
1083.HK         ,20221231
0553.HK         ,20230331
1072.HK         ,20230331
2324.HK         ,20230331
1046.HK         ,20221231
0018.HK         ,20230331
0747.HK         ,20221231
0983.HK         ,20221231
8095.HK         ,20230331
8270.HK         ,20230331
0245.HK         ,20221231
0125.HK         ,20220930
2023.HK         ,20221231
0693.HK         ,20221231
1070.HK         ,20221231
8028.HK         ,20230331
0322.HK         ,20221231
0610.HK         ,20221231
0548.HK         ,20230331
1313.HK         ,20230331
0809.HK         ,20221231
0187.HK         ,20230331
1133.HK         ,20221231
1108.HK         ,20230331
0367.HK         ,20220930
0177.HK         ,20230331
8005.HK         ,20230331
1229.HK         ,20220930
0731.HK         ,20221231
0519.HK         ,20221231
0815.HK         ,20221231
3600.HK         ,20221231
0237.HK         ,20220930
1073.HK         ,20221231
0590.HK         ,20220930
0129.HK         ,20220930
0373.HK         ,20221231
0071.HK         ,20221231
0156.HK         ,20221231
0279.HK         ,20220930
0306.HK         ,20220930
0186.HK         ,20220930
1196.HK         ,20221231
1221.HK         ,20221231
0439.HK         ,20221231
0119.HK         ,20221231
0715.HK         ,20221231
0294.HK         ,20220930
0432.HK         ,20221231
0028.HK         ,20221231
8032.HK         ,20230331
0227.HK         ,20221231
0621.HK         ,20220930
0058.HK         ,20221231
0032.HK         ,20221231
0491.HK         ,20221231
0305.HK         ,20221231
0105.HK         ,20220930
0295.HK         ,20221231
1120.HK         ,20221231
0451.HK         ,20221231
0269.HK         ,20220930
0711.HK         ,20220930
0052.HK         ,20220930
0118.HK         ,20221231
0258.HK         ,20221231
