RIC	MAX(ACCOUNT_DATE)
BPRN.O          	20230331
BPT             	20230331
BPTH.O          	20230331
BPTS.O          	20221231
BPYPP.O         	20221231
BQ              	20220930
BR              	20230331
BRAC.O          	20230331
BRAG.TO         	20230331
BRBR.K          	20230331
BRBS.K          	20230331
BRC             	20230430
BRCC.K          	20230331
BRD             	20230331
BRDG.K          	20230331
BRDS.K          	20230331
BREA.O          	20221231
BREZ.O          	20230331
BRFH.O          	20230331
BRFS.K          	20230331
BRID.O          	20230414
BRKH.O          	20230331
BRKL.O          	20230331
BRKR.O          	20230331
BRKa            	20230331
BRLI.O          	20230331
BRLT.O          	20230331
BRN             	20230331
BRO             	20230331
BROG.O          	20221231
BROS.K          	20230331
BRP.O           	20230331
BRQS.O          	20221231
BRSH.O          	20221031
BRSP.K          	20230331
BRT             	20230331
BRTX.O          	20230331
BRX             	20230331
BRY.O           	20230331
BRZE.O          	20230430
BSAC.K          	20230331
BSAQ.K          	20230331
BSBK.O          	20230331
BSBR.K          	20230331
BSET.O          	20230225
BSFC.O          	20230331
BSGM.O          	20230331
BSIG.K          	20230331
BSM             	20230331
BSME.O          	20220630
BSQR.O          	20230331
BSRR.O          	20230331
BST             	20221231
BSTZ.K          	20221231
BSVN.O          	20230331
BSX             	20230331
BSY.O           	20230331
BTA             	20230131
BTAI.O          	20230331
BTB.O           	20221231
BTBD.O          	20230402
BTBT.O          	20230331
BTCM.K          	20230331
BTCS.O          	20230331
BTCY.O          	20221231
BTDR.O          	20230331
BTI             	20221231
BTMD.O          	20230331
BTO.TO          	20230331
BTOG.O          	20220630
BTT             	20230131
BTTR.K          	20230331
BTTX.O          	20230331
BTU             	20230331
BTWN.O          	20230331
BTZ             	20221231
BUD             	20230331
BURF.L          	20220630
BURL.K          	20230429
BURU.K          	20230331
BUSE.O          	20230331
BV              	20230331
BVH             	20230331
BVN             	20230331
BVS.O           	20230401
BVXV.O          	20230331
BW              	20230331
BWA             	20230331
BWAC.O          	20230331
BWAQ.O          	20230331
BWB.O           	20230331
BWC.O           	20230331
BWEN.O          	20230331
BWFG.O          	20230331
BWG             	20221031
BWMN.O          	20230331
BWMX.O          	20230331
BWV.O           	20230331
BWXT.K          	20230331
BX              	20230331
BXC             	20230401
BXMT.K          	20230331
BXP             	20230331
BXRX.O          	20230331
BXSL.K          	20230331
BY              	20230331
BYD             	20230331
BYFC.O          	20230331
BYM             	20230131
BYN             	20230331
BYND.CD         	20230331
BYND.O          	20230401
BYNO.O          	20230331
BYRN.O          	20230228
BYSI.O          	20221231
BYTS.O          	20230331
BZ.O            	20230331
BZFD.O          	20230331
BZH             	20230331
BZUN.O          	20230331
C               	20230331
CAAP.K          	20230331
CAAS.O          	20230331
CABA.O          	20230331
CABO.K          	20230331
CAC.O           	20230331
CACC.O          	20230331
CACI.K          	20230331
CACO.O          	20220930
CADE.K          	20230331
CADL.O          	20230331
CAE             	20230331
CAG             	20230226
CAH             	20230331
CAKE.O          	20230404
CAL             	20230429
CALB.O          	20230331
CALC.O          	20230331
CALM.O          	20230225
CALT.O          	20230331
CALX.K          	20230401
CAMP.O          	20230228
CAMT.O          	20230331
CAN.O           	20230331
CANG.K          	20221231
CANO.K          	20230331
CAPL.K          	20230331
CAPR.O          	20230331
CAR.O           	20230331
CARA.O          	20230331
CARE.O          	20230331
CARG.O          	20230331
CARM.O          	20230331
CARR.K          	20230331
CARS.K          	20230331
CARV.O          	20221231
CASA.O          	20230331
CASH.O          	20230331
CASS.O          	20230331
CASY.O          	20230430
CAT             	20230331
CATC.O          	20230331
CATO.K          	20230429
CATX.K          	20221231
CATY.O          	20230331
CB              	20230331
CBAN.O          	20230331
CBAT.O          	20230331
CBAY.O          	20230331
CBD             	20230331
CBFV.O          	20230331
CBIO.O          	20230331
CBL             	20230331
CBNK.O          	20230331
CBOE.K          	20230331
CBRE.K          	20230331
CBRG.O          	20230331
CBRL.O          	20230428
CBSH.O          	20230331
CBT             	20230331
CBU             	20230331
CBUS.O          	20230331
CBZ             	20230331
CC              	20230331
CCAI.O          	20230331
CCAP.O          	20230331
CCB.O           	20230331
CCBG.O          	20230331
CCCC.O          	20230331
CCCS.O          	20230331
CCD.O           	20221031
CCEL.K          	20230228
CCEP.O          	20221231
CCF             	20230228
CCI             	20230331
CCJ             	20230331
CCK             	20230331
CCL             	20230228
CCLD.O          	20230331
CCLP.O          	20230331
CCM             	20221231
CCNE.O          	20230331
CCO             	20230331
CCOI.O          	20230331
CCRD.K          	20230331
CCRN.O          	20230331
CCS             	20230331
CCSI.O          	20230331
CCTG.O          	20220930
CCTS.O          	20230331
CCU             	20230331
CCV             	20230331
CCVI.K          	20230331
CD.O            	20230331
CDAQ.O          	20230331
